user,item,time
184986,12,2023-09-05 15:27:38
184986,12,2023-09-05 15:27:41
185003,12,2023-09-07 11:18:41
185673,1,2023-09-07 13:15:42
178614,1,2023-09-07 19:02:39
178614,1,2023-09-07 19:20:58
178614,20,2023-09-07 19:21:13
178614,4,2023-09-07 19:21:27
178614,5,2023-09-07 19:27:47
178614,1,2023-09-07 19:30:11
178614,2,2023-09-07 19:34:51
178614,6,2023-09-07 19:36:45
178614,6,2023-09-07 19:36:51
178614,20,2023-09-07 19:42:49
178614,20,2023-09-07 19:43:39
178614,4,2023-09-07 19:45:36
178614,22,2023-09-07 19:47:05
178614,8,2023-09-07 19:48:57
178614,8,2023-09-07 19:48:57
178614,7,2023-09-07 19:49:41
178614,7,2023-09-07 19:50:24
178614,10,2023-09-07 19:51:42
178614,11,2023-09-07 19:52:04
178614,9,2023-09-07 19:52:19
178614,23,2023-09-07 19:54:07
178614,25,2023-09-07 19:54:50
178614,26,2023-09-07 19:55:15
178614,27,2023-09-07 19:55:38
178614,28,2023-09-07 19:56:03
178614,12,2023-09-07 19:56:45
178614,12,2023-09-07 19:57:29
178614,13,2023-09-07 19:58:15
178614,15,2023-09-07 19:58:22
178614,15,2023-09-07 19:58:47
178614,14,2023-09-07 19:58:59
178614,17,2023-09-07 19:59:06
178614,16,2023-09-07 19:59:15
178614,18,2023-09-07 19:59:22
178614,18,2023-09-07 19:59:28
178614,16,2023-09-07 19:59:38
178614,16,2023-09-07 19:59:46
178614,18,2023-09-07 19:59:50
178614,50,2023-09-07 19:59:54
178614,54,2023-09-07 20:00:00
178614,55,2023-09-07 20:00:17
178614,68,2023-09-07 20:00:26
178614,69,2023-09-07 20:00:33
178614,84,2023-09-07 20:00:35
178614,86,2023-09-07 20:00:43
178614,87,2023-09-07 20:00:49
178614,15,2023-09-07 20:11:00
178614,15,2023-09-07 20:11:01
178614,5,2023-09-07 20:15:32
184990,1,2023-09-08 20:21:39
159733,1,2023-09-09 19:02:17
186153,1,2023-09-10 12:30:59
186153,6,2023-09-10 12:32:38
186153,2,2023-09-10 12:32:41
141444,1,2023-09-11 07:49:35
141444,22,2023-09-11 07:50:06
141444,22,2023-09-11 07:50:42
141444,20,2023-09-11 07:51:43
141444,12,2023-09-11 07:53:01
141444,13,2023-09-11 07:53:04
141444,5,2023-09-11 07:54:38
141444,1,2023-09-11 08:24:49
141444,5,2023-09-11 09:39:38
184999,1,2023-09-11 10:24:22
184999,2,2023-09-11 10:25:37
184999,20,2023-09-11 10:25:45
184999,4,2023-09-11 10:26:23
184999,22,2023-09-11 10:26:33
159733,20,2023-09-11 11:56:00
141174,1,2023-09-11 16:00:49
186162,19,2023-09-11 16:01:45
186162,19,2023-09-11 16:01:46
141174,1,2023-09-11 16:02:30
141174,2,2023-09-11 16:04:03
141174,20,2023-09-11 16:10:05
170619,1,2023-09-11 19:12:32
170619,6,2023-09-11 19:12:37
